id_svsa_50k,nome,mae,sexo,dt_nasc,cod_munic_res
1,ANTHONY MENDES CAMARA,SARA NASCIMENTO CAMARA,1,2007-06-22,330150
2,GUILHERME PEIXOTO DUARTE,KAMILLY CAVALCANTE DUARTE,1,2006-06-16,231355
3,LUCAS FARIAS LEAO,JULIA VASCONCELOS LEAO,1,1977-02-06,220100
4,SOPHIA NOVAES DIAS,SOPHIE RODRIGUES DIAS,2,2015-07-10,210330
5,EMANUEL ANDRADE TEIXEIRA,KAMILLY SA TEIXEIRA,1,1994-06-28,172120
6,MANUELA DA PAZ SAMPAIO CAMARA,MILENA RIOS CAMARA,2,2014-04-13,312330
7,SABRINA MENDONCA PINTO,MAYA PORTO PINTO,2,2012-11-25,510760
8,SABRINA RAMOS COSTA,ANTONELLA DA MOTA CAMARGO COSTA,2,1990-01-05,352230
9,ASAFE PEREIRA CAVALCANTE,ANA BEATRIZ CUNHA CAVALCANTE,1,1998-01-11,230790
10,JOAO LUCAS TEIXEIRA SANTOS,MELISSA CIRINO SANTOS,1,1994-12-07,261255
11,RODRIGO BORGES ALMEIDA,BELLA LEAO ALMEIDA,1,1971-01-17,260890
12,THIAGO MENDES DA LUZ,ELOAH ALVES DA LUZ,1,1986-09-02,420290
13,BIANCA VIEIRA CASA GRANDE,ANA CLARA ALBUQUERQUE CASA GRANDE,2,2006-12-21,421223
14,REBECA MACHADO ARAGAO,EMILLY DA CUNHA SA ARAGAO,2,1972-05-30,292490
15,ANA JULIA NOVAIS CAMPOS,ELOA ALMEIDA CAMPOS,2,1988-07-02,320332
16,MARIA ALICE CAMARA GUERRA,ANA LIZ DUARTE GUERRA,2,2000-07-15,410370
17,OTAVIO ROCHA SOUZA,LAIS CAMARA SOUZA,1,2011-08-31,431000
18,MARIA JULIA CAVALCANTI CAVALCANTE,MARIA CECILIA DUARTE CAVALCANTE,2,1975-04-22,355130
19,JOSE MIGUEL MACHADO CAMARGO,MARIA FERNANDA FONSECA CAMARGO,1,1989-02-18,430655
20,CALEBE BARBOSA DA CRUZ,ANA SOPHIA ALBUQUERQUE DA CRUZ,1,1986-03-21,210940
21,MANUELA DA CONCEICAO MARTINS PEIXOTO,VITORIA SANTOS PEIXOTO,2,1990-06-06,231130
22,HELOISA FERNANDES CAMARA,ALICIA MELO CAMARA,2,1974-03-25,160050
23,ERICK SANTOS CALDEIRA,HELLENA ABREU CALDEIRA,1,1974-05-21,352600
24,AMANDA PIMENTA NOVAIS,MARIAH MOURA NOVAIS,2,1979-07-24,230240
25,MIRELLA MOREIRA DA MOTA,JULIA BARROS DA MOTA,2,1999-12-19,320320
26,HENRIQUE DIAS MACEDO,HELLENA RIOS MACEDO,1,1993-02-16,421775
27,MARIA LUISA DA CONCEICAO LOPES VIANA,CAROLINE MONTEIRO VIANA,2,1989-06-18,330620
28,EDUARDA PASTOR PINTO,LUISA PIRES PINTO,2,2006-05-22,310450
29,VITOR GABRIEL CARVALHO DA COSTA,LAVINIA MACHADO DA COSTA,1,1999-04-09,510300
30,DANTE DA CRUZ FARIAS CUNHA,BARBARA NOGUEIRA CUNHA,1,2009-05-20,240170
31,BENJAMIM SALES MACHADO,SOPHIE VASCONCELOS MACHADO,1,1983-09-09,231025
32,EVELYN SOUSA SOUSA,MELINA OLIVEIRA SOUSA,2,2022-10-07,211020
33,YURI CASTRO CUNHA,MARIA VITORIA ABREU CUNHA,1,2004-01-30,431113
34,BRUNA PACHECO MACEDO,MARIA CLARA REZENDE MACEDO,2,1975-03-16,130185
35,DANILO BRITO ALBUQUERQUE,BIANCA CARDOSO ALBUQUERQUE,1,2023-03-26,421265
36,ISAAC SALES FARIAS,MARIA FERNANDA NOGUEIRA FARIAS,1,2024-07-01,510370
37,LORENZO DA LUZ MOURA APARECIDA,MAITE CORREIA APARECIDA,1,1988-07-14,171240
38,RAVI LUCCA BRITO JESUS,ZOE PEREIRA JESUS,1,1983-07-12,315340
39,EVELYN PASTOR MACHADO,MELINA ROCHA MACHADO,2,1992-08-25,311440
40,SOPHIE CAMPOS JESUS,BELLA CAMARGO JESUS,2,1972-07-25,290830
41,EMANUEL BARBOSA BRITO,ANA CECILIA ALMEIDA BRITO,1,1982-05-05,421770
42,CAROLINE ARAUJO PIRES,MAYA JESUS PIRES,2,1971-02-23,412560
43,BRENO ALMEIDA SAMPAIO,MARIA FERNANDA NOVAES SAMPAIO,1,2006-10-15,411470
44,ARTHUR GABRIEL DIAS APARECIDA,MARIAH SOUZA APARECIDA,1,1987-03-28,130068
45,ANTHONY GABRIEL ARAUJO MARQUES,LETICIA NOGUEIRA MARQUES,1,1979-06-13,293210
46,HELENA SALES DA PAZ,MARIA DA ROCHA DA CONCEICAO DA PAZ,2,2014-01-21,510480
47,VICENTE DA COSTA LIMA PACHECO,PIETRA FARIAS PACHECO,1,1988-10-04,130040
48,LUIZA ANDRADE COSTELA,LUNNA CAMPOS COSTELA,2,1978-09-25,355030
49,JOAO PEDRO LIMA GARCIA,MARINA FOGACA GARCIA,1,2010-09-06,316270
50,ARTHUR GABRIEL LEAO CARDOSO,YASMIN BRITO CARDOSO,1,1989-04-18,250523
51,BRUNA COSTELA COSTELA,JULIANA CASSIANO COSTELA,2,1973-09-14,312320
52,LARISSA VIEIRA NASCIMENTO,YASMIN MENDES NASCIMENTO,2,2016-01-20,410420
53,LUANA COSTELA ALMEIDA,MARIA FLOR CALDEIRA ALMEIDA,2,2015-05-10,291120
54,JOAO CUNHA DA CUNHA,HELOISA CIRINO DA CUNHA,1,1985-05-14,311760
55,MAYA SILVEIRA PORTO,REBECA MELO PORTO,2,1995-10-19,351070
56,LAVINIA CUNHA COSTELA,ISABELA SIQUEIRA COSTELA,2,2007-10-26,354025
57,PEDRO HENRIQUE PINTO SA,LUISA PIRES SA,1,1996-12-26,230800
58,YASMIN MOURA ARAGAO,PIETRA RAMOS ARAGAO,2,2021-01-22,311650
59,LAIS COSTELA BRITO,ISIS MARQUES BRITO,2,1996-01-15,510160
60,BENTO ALMEIDA VIANA,JADE MOURA VIANA,1,2012-02-21,431365
61,CECILIA SALES DA CUNHA,NINA FONSECA DA CUNHA,2,1995-02-20,293330
62,GUSTAVO DA MATA MONTENEGRO ALVES,GIOVANNA FONSECA ALVES,1,1992-11-04,430120
63,MIGUEL RODRIGUES DA ROCHA,CLARICE SALES DA ROCHA,1,1982-10-17,431675
64,MATHEUS FERREIRA RODRIGUES,ISADORA RODRIGUES RODRIGUES,1,1995-05-03,355570
65,SARAH PEREIRA BARROS,MARIA CLARA APARECIDA BARROS,2,2007-05-25,314400
66,JOAQUIM FREITAS MACHADO,ALICE ARAUJO MACHADO,1,1997-12-18,220570
67,BARBARA LIMA SA,MARIA HELENA ALBUQUERQUE SA,2,2011-10-06,251070
68,ANA LAURA CUNHA RODRIGUES,BARBARA DA PAZ DA PAZ RODRIGUES,2,1976-10-28,291840
69,STEPHANY MONTEIRO RIBEIRO,ANA JULIA DAS NEVES MACHADO RIBEIRO,2,1987-09-07,290300
70,ANTHONY GABRIEL NASCIMENTO NOVAIS,REBECA DUARTE NOVAIS,1,1991-01-07,431055
71,MATHIAS RIOS MOREIRA,EMILLY ALVES MOREIRA,1,1982-02-14,431402
72,DANILO PEIXOTO OLIVEIRA,LIZ FERREIRA OLIVEIRA,1,2014-12-20,311800
73,ALEXIA CIRINO OLIVEIRA,STELLA DA PAZ VARGAS OLIVEIRA,2,2007-06-24,355030
74,CAROLINE CASTRO NOVAIS,NINA GARCIA NOVAIS,2,1972-11-05,431915
75,ANA SOPHIA APARECIDA NUNES,BIANCA CARVALHO NUNES,2,1981-12-13,355030
76,MARIA CIRINO VARGAS,STEPHANY BARBOSA VARGAS,2,1988-04-13,412520
77,BARBARA DA ROSA ARAUJO CAMARGO,CECILIA NOVAIS CAMARGO,2,1973-05-08,411370
78,MARCELA SIQUEIRA GOMES,LUNNA DA CRUZ ALMEIDA GOMES,2,2013-01-30,510775
79,SARA CAMPOS CASSIANO,NICOLE DA ROCHA VARGAS CASSIANO,2,1993-01-03,241030
80,RYAN SOUSA ROCHA,ISABELA SILVA ROCHA,1,1972-07-23,354900
81,LAURA NOGUEIRA ARAUJO,LIVIA MENDONCA ARAUJO,2,1974-07-07,240490
82,MELINA BRITO ALVES,BRUNA SAMPAIO ALVES,2,1971-05-07,316880
83,YASMIN APARECIDA ABREU,MARIA FLOR DA CRUZ PIRES ABREU,2,1982-07-12,260680
84,EVELYN BARROS MARTINS,LUNNA CASSIANO MARTINS,2,2011-07-07,293300
85,MARIA LUIZA RAMOS FREITAS,ANA LAURA ARAUJO FREITAS,2,1973-01-13,410480
86,RENAN MENDONCA MONTENEGRO,CAROLINA NUNES MONTENEGRO,1,2013-06-09,317040
87,DANIEL JESUS SALES,SABRINA CASTRO SALES,1,2010-06-22,432215
88,VICENTE CIRINO OLIVEIRA,LARA PINTO OLIVEIRA,1,1988-12-05,430160
89,BERNARDO GONCALVES MENDONCA,RAFAELA CUNHA MENDONCA,1,1972-12-12,261460
90,ANA LUIZA CORREIA REZENDE,BELLA BORGES REZENDE,2,2000-02-06,320120
91,LUCAS GABRIEL ARAUJO JESUS,HADASSA PEIXOTO JESUS,1,1988-02-12,230840
92,MANUELLA CIRINO VIEIRA,ALLANA NOVAIS VIEIRA,2,2018-01-16,292890
93,IGOR DA CUNHA CORREIA PIMENTA,LUNNA GONCALVES PIMENTA,1,1991-03-11,521400
94,VALENTINA MENDONCA SILVEIRA,ANNA LIZ BARROS SILVEIRA,2,1990-09-20,251360
95,MAYA DA MATA SAMPAIO DA ROSA,ALEXIA ANDRADE DA ROSA,2,2024-02-29,311720
96,ANA LIVIA DA MATA RIBEIRO DA ROCHA,MILENA PIRES DA ROCHA,2,2022-10-03,412625
97,OTAVIO DA ROSA LOPES ROCHA,REBECA SANTOS ROCHA,1,2016-08-08,291310
98,MARIAH CAMPOS REZENDE,ANA VITORIA ANDRADE REZENDE,2,2015-09-16,317190
99,ELOA GONCALVES CARDOSO,LIVIA DA LUZ PORTO CARDOSO,2,2021-03-18,500240
100,ISABELLY TEIXEIRA CASTRO,CECILIA NASCIMENTO CASTRO,2,1992-10-02,354210
101,MARIA ISIS SAMPAIO DAS NEVES,HELLENA CASA GRANDE DAS NEVES,2,1996-10-31,410060
102,MARIA LIZ AZEVEDO REZENDE,ESTER PASTOR REZENDE,2,1971-05-05,211167
103,CAUA CAMARA MONTEIRO,MARCELA FREITAS MONTEIRO,1,1973-08-01,280590
104,MAYSA MONTEIRO PACHECO,MARIA JULIA CAMARA PACHECO,2,1976-07-06,220177
105,ANA CLARA VIANA CAMPOS,MARIANE SAMPAIO CAMPOS,2,1986-06-23,420900
106,RHAVI DUARTE DA CONCEICAO,ESTHER SOUSA DA CONCEICAO,1,1972-02-05,261390
107,RAFAEL ALMEIDA RODRIGUES,CLARICE RIBEIRO RODRIGUES,1,1992-07-10,293240
108,AURORA PINTO LIMA,MARIA CLARA GOMES LIMA,2,2010-09-16,316480
109,HELLENA BARBOSA RAMOS,ALICIA CAMARGO RAMOS,2,2008-10-11,290510
110,LEVI CAVALCANTI MELO,MARIA LIZ MONTEIRO MELO,1,1971-03-22,521120
111,JOAO VITOR CAVALCANTE DIAS,ANA BEATRIZ MORAES DIAS,1,2001-12-01,430350
112,AGATHA ALVES FERNANDES,MARIA JULIA PACHECO FERNANDES,2,2022-03-18,261600
113,ASAFE VASCONCELOS SILVA,MARIA HELENA DA PAZ MONTENEGRO SILVA,1,1992-06-11,353020
114,LUIZ FERNANDO SOUZA PASTOR,MARIA JULIA RIOS PASTOR,1,2003-02-16,312100
115,JOAO GUILHERME DUARTE OLIVEIRA,AMANDA BRITO OLIVEIRA,1,1973-05-18,353180
116,MATTEO ALMEIDA BORGES,AYLLA MOURA BORGES,1,2006-12-18,291465
117,MILENA SA DUARTE,MARIA CLARA CASTRO DUARTE,2,1983-03-08,210770
118,PAULO RODRIGUES PACHECO,MIRELLA MENDONCA PACHECO,1,1997-05-09,310730
119,CAMILA FREITAS GUERRA,HELLENA RIOS GUERRA,2,2017-04-02,412780
120,LUCCA CARVALHO MENDONCA,KAMILLY NUNES MENDONCA,1,2005-08-20,313540
121,LEO SIQUEIRA REZENDE,MARIANA PEREIRA REZENDE,1,1977-07-27,310800
122,AGATHA DA ROSA ALBUQUERQUE FREITAS,LUANA SALES FREITAS,2,1991-07-19,230350
123,HELENA SANTOS SANTOS,MILENA FARIAS SANTOS,2,2015-10-16,231060
124,HELOISA PACHECO DA ROCHA,ANA LIZ DIAS DA ROCHA,2,2013-10-01,290720
125,ISAQUE TEIXEIRA CAMARGO,LAVINIA SA CAMARGO,1,2023-09-04,354600
126,LIVIA RAMOS LIMA,MIRELLA RODRIGUES LIMA,2,2016-10-15,231220
127,AGATHA GUERRA CIRINO,MARINA SALES CIRINO,2,1983-10-18,431980
128,ANA CLARA NOVAIS PASTOR,ANA LIVIA COSTELA PASTOR,2,2002-02-08,171270
129,ANTHONY DIAS MONTEIRO,CLARA VIANA MONTEIRO,1,1992-02-02,261500
130,RYAN NOGUEIRA VIANA,ELOA DA LUZ FERREIRA VIANA,1,2024-07-01,330475
131,CLARA SILVEIRA FOGACA,ALEXIA TEIXEIRA FOGACA,2,2009-08-12,220220
132,LIAM DA LUZ CAMARA DA CRUZ,AYLLA DA LUZ MOREIRA DA CRUZ,1,1981-08-20,421915
133,LAVINIA REZENDE DA CONCEICAO,ANA LAURA NOVAIS DA CONCEICAO,2,2015-09-14,520140
134,AYLLA PEIXOTO DUARTE,MARIA ISIS ROCHA DUARTE,2,2015-01-01,420470
135,ANTONELLA DA CRUZ TEIXEIRA CALDEIRA,STELLA LOPES CALDEIRA,2,2007-04-11,311100
136,MARIANA DA LUZ DA PAZ MONTENEGRO,LAURA SAMPAIO MONTENEGRO,2,1970-04-24,430270
137,GAEL HENRIQUE COSTA DIAS,EMILLY MARQUES DIAS,1,1988-11-30,230445
138,ISABELA GOMES BARBOSA,ANA SOPHIA CAMARA BARBOSA,2,1999-12-29,310010
139,BRUNA SIQUEIRA SALES,LUNNA PIMENTA SALES,2,1970-03-09,311390
140,EDUARDA RIOS MENDES,BRUNA AZEVEDO MENDES,2,1984-03-10,411295
141,ISABEL DA MOTA DA MOTA FREITAS,MANUELLA ALVES FREITAS,2,2006-10-27,316170
142,ANA VITORIA MACHADO SILVA,LARISSA MACEDO SILVA,2,2003-05-28,420360
143,JOAO GUILHERME OLIVEIRA TEIXEIRA,ALLANA LIMA TEIXEIRA,1,1973-10-14,290310
144,OLIVER DA CRUZ SALES CIRINO,AYLLA RIBEIRO CIRINO,1,2017-01-15,316470
