id,nome,mae,sexo,cod_munic_res,dt_nasc
1,Anthony Mendes Câmara,Sara Nascimento Câmara,M,330150405,2007-06-22
2,Guilherme Peixoto Duarte,Kamilly Cavalcante Duarte,M,231355915,2006-06-16
3,Lucas Farias Leão,Julia Vasconcelos Leão,M,220100205,1977-02-06
4,Sophia Novaes Dias,Sophie Rodrigues Dias,F,210330715,2015-07-10
5,Emanuel Andrade Teixeira,Kamilly Sá Teixeira,M,172120805,1994-06-28
6,Manuela da Paz SAMPAIO Câmara,Milena Rios Câmara,F,312330405,2014-04-13
7,Sabrina Mendonça Pinto,Maya Porto Pinto,F,510760210,2012-11-25
8,Sabrina Ramos Costa,Antonella da Mota CAMARGO Costa,F,352230715,1990-01-05
9,Asafe Pereira Cavalcante,Ana Beatriz Cunha Cavalcante,M,230790805,1998-01-11
10,João Lucas Teixeira Santos,Melissa Cirino Santos,M,261255425,1994-12-07
11,Rodrigo Borges Almeida,Bella Leão Almeida,M,260890905,1971-01-17
12,Thiago Mendes da Luz,Eloah Alves da Luz,M,420290905,1986-09-02
13,Bianca Vieira Casa Grande,Ana Clara Albuquerque Casa Grande,F,421223910,2006-12-21
14,Rebeca Machado Aragão,Emilly da Cunha SÁ Aragão,F,292490010,1972-05-30
15,Ana Júlia Novais Campos,Eloá Almeida Campos,F,320332005,1988-07-02
16,Maria Alice Câmara Guerra,Ana Liz Duarte Guerra,F,410370105,2000-07-15
17,Otávio Rocha Souza,Laís Câmara Souza,M,431000910,2011-08-31
18,Maria Julia Cavalcanti Cavalcante,Maria Cecília Duarte Cavalcante,F,355130605,1975-04-22
19,José Miguel Machado Camargo,Maria Fernanda Fonseca Camargo,M,430655120,1989-02-18
20,Calebe Barbosa da Cruz,Ana Sophia Albuquerque da Cruz,M,210940305,1986-03-21
21,Manuela da Conceição MARTINS Peixoto,Vitória Santos Peixoto,F,231130652,1990-06-06
22,Heloísa Fernandes Câmara,Alícia Melo Câmara,F,160050115,1974-03-25
23,Erick Santos Caldeira,Hellena Abreu Caldeira,M,352600105,1974-05-21
24,Amanda Pimenta Novais,Mariah Moura Novais,F,230240422,1979-07-24
25,Mirella Moreira da Mota,Júlia Barros da Mota,F,320320510,1999-12-19
26,Henrique Dias Macedo,Hellena Rios Macedo,M,421775805,1993-02-16
27,Maria Luísa da Conceição LOPES Viana,Caroline Monteiro Viana,F,330620635,1989-06-18
28,Eduarda Pastor Pinto,Luísa Pires Pinto,F,310450220,2006-05-22
29,Vitor Gabriel Carvalho da Costa,Lavínia Machado da Costa,M,510300710,1999-04-09
30,Dante da Cruz FARIAS Cunha,Bárbara Nogueira Cunha,M,240170105,2009-05-20
31,Benjamim Sales Machado,Sophie Vasconcelos Machado,M,231025805,1983-09-09
32,Evelyn Sousa Sousa,Melina Oliveira Sousa,F,211020305,2022-10-07
33,Yuri Castro Cunha,Maria Vitória Abreu Cunha,M,431113005,2004-01-30
34,Bruna Pacheco Macedo,Maria Clara Rezende Macedo,F,130185210,1975-03-16
35,Danilo Brito Albuquerque,Bianca Cardoso Albuquerque,M,421265005,2023-03-26
36,Isaac Sales Farias,Maria Fernanda Nogueira Farias,M,510370005,2024-07-01
37,Lorenzo da Luz MOURA Aparecida,Maitê Correia Aparecida,M,171240510,1988-07-14
38,Ravi Lucca Brito Jesus,Zoe Pereira Jesus,M,315340020,1983-07-12
39,Evelyn Pastor Machado,Melina Rocha Machado,F,311440205,1992-08-25
40,Sophie Campos Jesus,Bella Camargo Jesus,F,290830905,1972-07-25
41,Emanuel Barbosa Brito,Ana Cecília Almeida Brito,M,421770915,1982-05-05
42,Caroline Araújo Pires,Maya Jesus Pires,F,412560520,1971-02-23
43,Breno Almeida Sampaio,Maria Fernanda Novaes Sampaio,M,411470805,2006-10-15
44,Arthur Gabriel Dias Aparecida,Mariah Souza Aparecida,M,130068015,1987-03-28
45,Anthony Gabriel Araújo Marques,Letícia Nogueira Marques,M,293210115,1979-06-13
46,Helena Sales da Paz,Maria da Rocha DA CONCEIÇÃO da Paz,F,510480705,2014-01-21
47,Vicente da Costa LIMA Pacheco,Pietra Farias Pacheco,M,130040905,1988-10-04
48,Luiza Andrade Costela,Lunna Campos Costela,F,355030829,1978-09-25
49,João Pedro Lima Garcia,Marina Fogaça Garcia,M,316270830,2010-09-06
50,Arthur Gabriel Leão Cardoso,Yasmin Brito Cardoso,M,250523805,1989-04-18
51,Bruna Costela Costela,Juliana Cassiano Costela,F,312320505,1973-09-14
52,Larissa Vieira Nascimento,Yasmin Mendes Nascimento,F,410420420,2016-01-20
53,Luana Costela Almeida,Maria Flor Caldeira Almeida,F,291120405,2015-05-10
54,João Cunha da Cunha,Heloisa Cirino da Cunha,M,311760305,1985-05-14
55,Maya Silveira Porto,Rebeca Melo Porto,F,351070805,1995-10-19
56,Lavínia Cunha Costela,Isabela Siqueira Costela,F,354025905,2007-10-26
57,Pedro Henrique Pinto Sá,Luísa Pires Sá,M,230800522,1996-12-26
58,Yasmin Moura Aragão,Pietra Ramos Aragão,F,311650605,2021-01-22
59,Laís Costela Brito,Ísis Marques Brito,F,510160505,1996-01-15
60,Bento Almeida Viana,Jade Moura Viana,M,431365625,2012-02-21
61,Cecilia Sales da Cunha,Nina Fonseca da Cunha,F,293330706,1995-02-20
62,Gustavo da Mata MONTENEGRO Alves,Giovanna Fonseca Alves,M,430120625,1992-11-04
63,Miguel Rodrigues da Rocha,Clarice Sales da Rocha,M,431675805,1982-10-17
64,Matheus Ferreira Rodrigues,Isadora Rodrigues Rodrigues,M,355570305,1995-05-03
65,Sarah Pereira Barros,Maria Clara Aparecida Barros,F,314400325,2007-05-25
66,Joaquim Freitas Machado,Alice Araújo Machado,M,220570605,1997-12-18
67,Bárbara Lima Sá,Maria Helena Albuquerque Sá,F,251070905,2011-10-06
68,Ana Laura Cunha Rodrigues,Bárbara da Paz DA PAZ Rodrigues,F,291840740,1976-10-28
69,Stephany Monteiro Ribeiro,Ana Julia das Neves MACHADO Ribeiro,F,290300305,1987-09-07
70,Anthony Gabriel Nascimento Novais,Rebeca Duarte Novais,M,431055305,1991-01-07
71,Mathias Rios Moreira,Emilly Alves Moreira,M,431402705,1982-02-14
72,Danilo Peixoto Oliveira,Liz Ferreira Oliveira,M,311800715,2014-12-20
73,Alexia Cirino Oliveira,Stella da Paz VARGAS Oliveira,F,355030862,2007-06-24
74,Caroline Castro Novais,Nina Garcia Novais,F,431915835,1972-11-05
75,Ana Sophia Aparecida Nunes,Bianca Carvalho Nunes,F,355030844,1981-12-13
76,Maria Cirino Vargas,Stephany Barbosa Vargas,F,412520915,1988-04-13
77,Bárbara da Rosa ARAÚJO Camargo,Cecília Novais Camargo,F,411370010,1973-05-08
78,Marcela Siqueira Gomes,Lunna da Cruz ALMEIDA Gomes,F,510775010,2013-01-30
79,Sara Campos Cassiano,Nicole da Rocha VARGAS Cassiano,F,241030605,1993-01-03
80,Ryan Sousa Rocha,Isabela Silva Rocha,M,354900305,1972-07-23
81,Laura Nogueira Araújo,Lívia Mendonça Araújo,F,240490305,1974-07-07
82,Melina Brito Alves,Bruna Sampaio Alves,F,316880405,1971-05-07
83,Yasmin Aparecida Abreu,Maria Flor da Cruz PIRES Abreu,F,260680405,1982-07-12
84,Evelyn Barros Martins,Lunna Cassiano Martins,F,293300015,2011-07-07
85,Maria Luiza Ramos Freitas,Ana Laura Araújo Freitas,F,410480845,1973-01-13
86,Renan Mendonça Montenegro,Carolina Nunes Montenegro,M,317040418,2013-06-09
87,Daniel Jesus Sales,Sabrina Castro Sales,M,432215210,2010-06-22
88,Vicente Cirino Oliveira,Lara Pinto Oliveira,M,430160221,1988-12-05
89,Bernardo Gonçalves Mendonça,Rafaela Cunha Mendonça,M,261460005,1972-12-12
90,Ana Luiza Correia Rezende,Bella Borges Rezende,F,320120917,2000-02-06
91,Lucas Gabriel Araújo Jesus,Hadassa Peixoto Jesus,M,230840115,1988-02-12
92,Manuella Cirino Vieira,Allana Novais Vieira,F,292890105,2018-01-16
93,Igor da Cunha CORREIA Pimenta,Lunna Gonçalves Pimenta,M,521400205,1991-03-11
94,Valentina Mendonça Silveira,Anna Liz Barros Silveira,F,251360405,1990-09-20
95,Maya da Mata SAMPAIO da Rosa,Alexia Andrade da Rosa,F,311720705,2024-02-29
96,Ana Lívia da Mata RIBEIRO da Rocha,Milena Pires da Rocha,F,412625605,2022-10-03
97,Otávio da Rosa LOPES Rocha,Rebeca Santos Rocha,M,291310120,2016-08-08
98,Mariah Campos Rezende,Ana Vitória Andrade Rezende,F,317190705,2015-09-16
99,Eloá Gonçalves Cardoso,Lívia da Luz PORTO Cardoso,F,500240705,2021-03-18
100,Isabelly Teixeira Castro,Cecilia Nascimento Castro,F,354210705,1992-10-02
101,Maria Isis Sampaio das Neves,Hellena Casa Grande das Neves,F,410060815,1996-10-31
102,Maria Liz Azevedo Rezende,Ester Pastor Rezende,F,211167205,1971-05-05
103,Cauã Câmara Monteiro,Marcela Freitas Monteiro,M,280590105,1973-08-01
104,Maysa Monteiro Pacheco,Maria Julia Câmara Pacheco,F,220177005,1976-07-06
105,Ana Clara Viana Campos,Mariane Sampaio Campos,F,420900315,1986-06-23
106,Rhavi Duarte da Conceição,Esther Sousa da Conceição,M,261390925,1972-02-05
107,Rafael Almeida Rodrigues,Clarice Ribeiro Rodrigues,M,293240810,1992-07-10
108,Aurora Pinto Lima,Maria Clara Gomes Lima,F,316480305,2010-09-16
109,Hellena Barbosa Ramos,Alícia Camargo Ramos,F,290510705,2008-10-11
110,Levi Cavalcanti Melo,Maria Liz Monteiro Melo,M,521120605,1971-03-22
111,João Vitor Cavalcante Dias,Ana Beatriz Moraes Dias,M,430350905,2001-12-01
112,Ágatha Alves Fernandes,Maria Julia Pacheco Fernandes,F,261600105,2022-03-18
113,Asafe Vasconcelos Silva,Maria Helena da Paz MONTENEGRO Silva,M,353020115,1992-06-11
114,Luiz Fernando Souza Pastor,Maria Júlia Rios Pastor,M,312100130,2003-02-16
115,João Guilherme Duarte Oliveira,Amanda Brito Oliveira,M,353180305,1973-05-18
116,Matteo Almeida Borges,Aylla Moura Borges,M,291465305,2006-12-18
117,Milena Sá Duarte,Maria Clara Castro Duarte,F,210770405,1983-03-08
118,Paulo Rodrigues Pacheco,Mirella Mendonça Pacheco,M,310730705,1997-05-09
119,Camila Freitas Guerra,Hellena Rios Guerra,F,412780910,2017-04-02
120,Lucca Carvalho Mendonça,Kamilly Nunes Mendonça,M,313540710,2005-08-20
121,Léo Siqueira Rezende,Mariana Pereira Rezende,M,310800815,1977-07-27
122,Agatha da Rosa ALBUQUERQUE Freitas,Luana Sales Freitas,F,230350105,1991-07-19
123,Helena Santos Santos,Milena Farias Santos,F,231060505,2015-10-16
124,Heloisa Pacheco da Rocha,Ana Liz Dias da Rocha,F,290720225,2013-10-01
125,Isaque Teixeira Camargo,Lavínia Sá Camargo,M,354600905,2023-09-04
126,Lívia Ramos Lima,Mirella Rodrigues Lima,F,231220510,2016-10-15
127,Ágatha Guerra Cirino,Marina Sales Cirino,F,431980205,1983-10-18
128,Ana Clara Novais Pastor,Ana Lívia Costela Pastor,F,171270205,2002-02-08
129,Anthony Dias Monteiro,Clara Viana Monteiro,M,261500315,1992-02-02
130,Ryan Nogueira Viana,Eloá da Luz FERREIRA Viana,M,330475515,2024-07-01
131,Clara Silveira Fogaça,Alexia Teixeira Fogaça,F,220220805,2009-08-12
132,Liam da Luz CÂMARA da Cruz,Aylla da Luz MOREIRA da Cruz,M,421915005,1981-08-20
133,Lavínia Rezende da Conceição,Ana Laura Novais da Conceição,F,520140510,2015-09-14
134,Aylla Peixoto Duarte,Maria Isis Rocha Duarte,F,420470705,2015-01-01
135,Antonella da Cruz TEIXEIRA Caldeira,Stella Lopes Caldeira,F,311100210,2007-04-11
136,Mariana da Luz DA PAZ Montenegro,Laura Sampaio Montenegro,F,430270910,1970-04-24
137,Gael Henrique Costa Dias,Emilly Marques Dias,M,230445915,1988-11-30
138,Isabela Gomes Barbosa,Ana Sophia Câmara Barbosa,F,310010405,1999-12-29
139,Bruna Siqueira Sales,Lunna Pimenta Sales,F,311390905,1970-03-09
140,Eduarda Rios Mendes,Bruna Azevedo Mendes,F,411295910,1984-03-10
141,Isabel da Mota DA MOTA Freitas,Manuella Alves Freitas,F,316170005,2006-10-27
142,Ana Vitória Machado Silva,Larissa Macedo Silva,F,420360023,2003-05-28
143,João Guilherme Oliveira Teixeira,Allana Lima Teixeira,M,290310205,1973-10-14
144,Oliver da Cruz SALES Cirino,Aylla Ribeiro Cirino,M,316470410,2017-01-15
145,Gustavo Nascimento Silveira,Ayla Sampaio Silveira,M,431780613,1978-01-24
146,Bella Aparecida Lopes,Elisa Vasconcelos Lopes,F,520929105,2009-09-04
147,Cecília da Luz ALVES Ferreira,Mariah Viana Ferreira,F,430410105,1975-09-19
148,Mateus Novaes Machado,Isabella Albuquerque Machado,M,412217205,1989-04-24
149,Arthur Farias Sousa,Isis Teixeira Sousa,M,314710505,1988-09-01
150,Joaquim Mendes Vargas,Yasmin Mendes Vargas,M,421170205,2022-07-23
151,Sabrina Monteiro da Cruz,Aurora Cassiano da Cruz,F,312750310,1994-01-21
152,Lucca Cunha Peixoto,Vitória Santos Peixoto,M,160060020,1985-05-29
153,Olivia Almeida Gonçalves,Maria Alice da Mata RODRIGUES Gonçalves,F,510665305,1986-07-16
154,Manuela Nogueira Campos,Valentina Brito Campos,F,522010805,2020-08-02
155,Dante Barbosa Oliveira,Maria Flor Correia Oliveira,M,420450905,1994-11-10
156,Renan Sampaio Vieira,Ayla Melo Vieira,M,420600905,2022-04-25
157,Levi Aparecida Fernandes,Mariah Mendes Fernandes,M,231085210,2008-11-08
158,Maria Vitória Gomes Pereira,Maria Luiza Moura Pereira,F,316500805,1974-04-13
159,Ravy Nascimento da Mota,Agatha Fonseca da Mota,M,230015005,1978-12-17
160,Ágatha Cunha Casa Grande,Stephany Sousa Casa Grande,F,320090425,2001-08-12
161,Asafe Leão da Cunha,Ana Machado da Cunha,M,352200005,2007-12-27
162,Raul Marques Sampaio,Maria Liz Melo Sampaio,M,220213305,1995-03-06
163,Emanuel Campos Campos,Anna Liz Castro Campos,M,412135605,1998-04-12
164,Rafael Cunha Lopes,Nina Vasconcelos Lopes,M,431740015,1971-04-29
165,Bianca Câmara Nascimento,Alícia Machado Nascimento,F,320350210,2011-12-05
166,Luna Montenegro Fernandes,Ana Laura Cirino Fernandes,F,251500505,2010-04-29
167,Nicolas Vasconcelos Monteiro,Stella Guerra Monteiro,M,210750605,1986-01-23
